p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd(deg)
987.41,10.93,285.12,6.99,76.6,13.08,10.02,3.06,6.34,10.15,1206.15,1.75,2.56,209.3
987.54,10.8,284.98,7,77.3,12.97,10.03,2.94,6.34,10.15,1206.86,1.64,2.24,206.7
987.58,10.6,284.78,7.03,78.5,12.8,10.05,2.75,6.35,10.17,1207.75,1.78,2.46,211.4
987.68,10.49,284.66,7.03,79.1,12.7,10.05,2.66,6.35,10.17,1208.34,1.33,2.28,209
987.86,10.34,284.49,7.01,79.8,12.58,10.04,2.54,6.34,10.16,1209.21,1.65,2.64,211.3
988.11,10.22,284.35,6.97,80.2,12.48,10.01,2.47,6.32,10.13,1210.04,2.2,3.34,208.9
988.14,10.03,284.16,6.86,80.6,12.32,9.93,2.39,6.27,10.05,1210.92,2.49,3.52,204.4
988.13,9.75,283.88,6.76,81.6,12.09,9.86,2.22,6.23,9.98,1212.14,2.17,3.08,208
988.1,9.64,283.77,6.73,82,12,9.84,2.16,6.22,9.96,1212.59,1.76,2.76,196.5
988.14,9.57,283.7,6.71,82.3,11.94,9.83,2.11,6.21,9.95,1212.94,1.55,2.6,205.9
988.17,9.55,283.67,6.67,82.2,11.93,9.8,2.12,6.19,9.92,1213.07,1.55,2.2,211.1
988.31,9.63,283.74,6.72,82,11.99,9.83,2.16,6.21,9.95,1212.89,1.9,3.08,213.8
988.35,9.43,283.54,6.61,82.5,11.83,9.76,2.07,6.17,9.88,1213.83,1.18,2.2,194.4
988.49,9.18,283.28,6.49,83.2,11.63,9.68,1.95,6.11,9.79,1215.12,1.86,2.76,208.5
988.5,9.09,283.19,6.54,84,11.56,9.71,1.85,6.13,9.83,1215.5,1.79,2.68,209.4
988.5,8.95,283.04,6.54,84.8,11.45,9.71,1.74,6.13,9.83,1216.1,1.56,2.2,204.5
988.5,8.72,282.81,6.26,84.5,11.28,9.53,1.75,6.02,9.64,1217.18,1.36,2,209.6
988.5,8.26,282.35,6.06,86,10.93,9.4,1.53,5.94,9.51,1219.23,0.95,1.68,203.3
988.53,7.84,281.93,5.8,86.9,10.62,9.23,1.39,5.83,9.34,1221.17,1.13,2.32,175.1
988.52,7.55,281.64,5.94,89.5,10.41,9.32,1.09,5.89,9.43,1222.38,0.59,1.44,180.3
988.6,7.76,281.84,6.12,89.3,10.56,9.43,1.13,5.96,9.54,1221.51,1.24,2.24,184.3
988.64,7.6,281.68,5.93,89.1,10.45,9.31,1.14,5.88,9.42,1222.32,1.64,2.64,208.2
988.65,7.41,281.49,5.83,89.7,10.31,9.25,1.06,5.84,9.36,1223.18,1.22,2.04,200.8
988.72,7.37,281.44,5.84,90,10.29,9.26,1.03,5.84,9.36,1223.44,1.3,1.98,209.9
988.79,7.36,281.43,5.86,90.2,10.28,9.27,1.01,5.85,9.38,1223.57,1.35,2.28,195.3
988.97,7.23,281.28,5.77,90.4,10.19,9.21,0.98,5.81,9.31,1224.39,0.79,1.32,182.5
989.05,7.1,281.14,5.7,90.8,10.1,9.17,0.93,5.79,9.27,1225.07,0.84,1.44,202.4
989.08,7.07,281.11,5.72,91.1,10.08,9.18,0.9,5.79,9.28,1225.24,0.39,1.24,171.9
989.18,7.2,281.23,5.79,90.7,10.17,9.22,0.95,5.82,9.32,1224.77,0.24,0.52,57.51
989.22,7.09,281.12,5.66,90.6,10.09,9.14,0.95,5.77,9.24,1225.34,0.27,0.48,32.42
989.33,6.71,280.73,5.35,91,9.83,8.94,0.88,5.64,9.04,1227.24,0.53,0.8,175.8
989.36,6.68,280.69,5.42,91.7,9.81,8.99,0.81,5.67,9.09,1227.4,0.43,0.64,199.4
989.55,6.04,280.04,4.69,91,9.39,8.54,0.84,5.39,8.63,1230.63,0.85,1.84,201.5
989.63,5.72,279.71,4.64,92.8,9.18,8.51,0.66,5.37,8.6,1232.19,1.76,2.48,211.8
989.64,5.4,279.39,4.36,93,8.97,8.34,0.63,5.26,8.43,1233.7,0.82,1.36,166.3
989.65,5.39,279.38,4.54,94.2,8.97,8.45,0.52,5.33,8.54,1233.68,0.47,1.06,203.9
989.77,5.65,279.63,4.89,94.8,9.14,8.66,0.48,5.46,8.75,1232.57,0.25,0.54,31.27
989.86,5.56,279.53,4.66,93.9,9.07,8.52,0.55,5.37,8.61,1233.18,0.53,0.92,142.8
989.86,5.06,279.04,4.18,94,8.77,8.24,0.53,5.2,8.33,1235.49,0.5,1.2,145.5
989.86,4.97,278.94,4.24,95,8.71,8.28,0.44,5.22,8.36,1235.89,0.17,0.28,320.7
989.86,5.24,279.21,4.61,95.7,8.88,8.5,0.38,5.36,8.58,1234.58,0.29,0.68,194.3
989.87,5.24,279.21,4.48,94.8,8.88,8.42,0.46,5.31,8.5,1234.63,0.56,0.98,142.3
989.91,4.95,278.92,4.22,95,8.7,8.27,0.44,5.21,8.35,1236.03,0.43,1.16,149.9
989.91,5.24,279.21,4.63,95.8,8.88,8.5,0.37,5.36,8.59,1234.64,0.72,1.14,153.9
989.88,5.43,279.4,4.78,95.6,8.99,8.6,0.4,5.42,8.69,1233.73,0.58,1.7,151.4
989.83,5.39,279.36,4.67,95.1,8.97,8.53,0.44,5.38,8.62,1233.89,0.89,1.6,133.4
989.87,5.18,279.15,4.46,95.1,8.84,8.41,0.43,5.3,8.49,1234.9,0.62,1.36,177.1
989.92,5.11,279.07,4.42,95.3,8.79,8.38,0.41,5.28,8.47,1235.31,0.3,0.62,45.69
990.06,5.1,279.06,4.47,95.7,8.79,8.41,0.38,5.3,8.5,1235.5,0.18,0.38,56.76
990.21,4.97,278.91,4.22,94.9,8.71,8.26,0.44,5.21,8.35,1236.35,0.42,1.08,145.7
990.2,4.76,278.71,4.05,95.1,8.58,8.16,0.42,5.14,8.24,1237.3,0.59,1.2,93.9
990.22,5.07,279.01,4.5,96.1,8.77,8.43,0.34,5.31,8.51,1235.82,0.38,0.72,123.1
990.28,5.27,279.2,4.68,96,8.89,8.54,0.36,5.38,8.62,1234.98,0.43,1.04,253.5
990.41,5.12,279.05,4.42,95.2,8.8,8.38,0.42,5.28,8.46,1235.85,0.66,1.16,150.7
990.36,4.31,278.24,3.48,94.3,8.32,7.84,0.47,4.94,7.92,1239.67,0.91,1.56,194.3
990.35,3.98,277.91,3.35,95.7,8.12,7.77,0.35,4.9,7.85,1241.18,1.01,1.28,184.4
990.47,3.9,277.82,3.31,95.9,8.08,7.75,0.33,4.88,7.82,1241.67,0.96,1.62,187.7
990.48,3.75,277.67,3.2,96.2,7.99,7.69,0.3,4.84,7.76,1242.41,0.55,0.88,155
990.57,3.72,277.63,3.22,96.5,7.98,7.7,0.28,4.85,7.77,1242.64,0.61,1.2,152.9
990.6,3.65,277.56,3.16,96.6,7.94,7.67,0.27,4.83,7.74,1243.01,0.7,1.36,133.8
990.65,3.68,277.58,3.22,96.8,7.95,7.7,0.25,4.85,7.77,1242.93,0.39,1.04,173.4
990.72,3.43,277.33,2.97,96.8,7.81,7.56,0.25,4.76,7.64,1244.2,0.83,2.08,141
990.76,3.58,277.47,3.19,97.3,7.9,7.68,0.21,4.84,7.76,1243.53,0.48,1.1,266.8
990.9,3.69,277.57,3.3,97.3,7.96,7.74,0.21,4.88,7.82,1243.18,0.68,1.52,180.5
990.96,3.76,277.64,3.4,97.5,8,7.8,0.2,4.91,7.87,1242.89,0.54,1.2,196.9
990.86,3.96,277.84,3.61,97.6,8.11,7.92,0.19,4.98,7.99,1241.85,0.81,1.68,146.6
990.88,4.12,278,3.79,97.7,8.2,8.01,0.19,5.05,8.09,1241.11,0.45,1.36,151.9
990.8,4.13,278.03,3.79,97.6,8.21,8.02,0.2,5.05,8.09,1240.94,0.65,1.8,197.9
990.71,4.16,278.06,3.83,97.7,8.23,8.04,0.19,5.06,8.12,1240.67,0.43,1,48.99
990.73,4.14,278.04,3.78,97.5,8.22,8.01,0.21,5.04,8.09,1240.82,0.41,0.68,44.43
991.01,4.07,277.94,3.72,97.6,8.18,7.98,0.2,5.02,8.05,1241.51,0.48,1.04,331.9
991.08,4,277.87,3.63,97.4,8.14,7.93,0.21,4.99,8,1241.92,0.57,0.84,187
991.07,3.71,277.59,3.3,97.1,7.97,7.74,0.23,4.87,7.81,1243.27,0.8,1.26,164.7
991.12,3.63,277.5,3.24,97.3,7.93,7.71,0.21,4.85,7.78,1243.73,0.77,1.24,195.3
991.26,3.8,277.66,3.47,97.7,8.02,7.84,0.18,4.93,7.91,1243.07,0.16,0.54,4.6
991.32,4.06,277.91,3.74,97.8,8.17,7.99,0.18,5.03,8.06,1241.92,0.62,1.12,161.2
991.4,4.02,277.86,3.64,97.4,8.15,7.94,0.21,4.99,8,1242.24,0.69,1.24,221.3
991.4,4.09,277.94,3.75,97.6,8.19,7.99,0.2,5.03,8.06,1241.86,0.4,0.96,209.9
991.51,4.19,278.03,3.83,97.5,8.25,8.04,0.21,5.06,8.11,1241.54,0.52,1.16,213.1
991.56,3.96,277.79,3.52,97,8.11,7.87,0.24,4.95,7.94,1242.74,0.53,1.04,186.9
991.57,3.88,277.71,3.49,97.3,8.07,7.85,0.22,4.94,7.92,1243.1,0.63,1.36,200.4
991.56,3.69,277.52,3.27,97.1,7.96,7.73,0.23,4.86,7.79,1244.01,0.81,1.48,184.7
991.58,3.87,277.7,3.51,97.5,8.06,7.86,0.2,4.95,7.93,1243.14,0.76,1.68,161.4
991.57,4.07,277.9,3.73,97.6,8.18,7.98,0.2,5.02,8.05,1242.19,0.64,1.88,191.6
991.61,4.01,277.84,3.61,97.2,8.14,7.92,0.23,4.98,7.98,1242.54,0.52,1.08,176.7
991.68,3.95,277.77,3.51,97,8.11,7.86,0.24,4.95,7.93,1242.95,0.61,1.08,148
991.73,3.69,277.51,3.25,96.9,7.96,7.72,0.25,4.85,7.78,1244.21,1.61,2.22,202.2
991.8,3.5,277.31,3.04,96.8,7.86,7.6,0.25,4.78,7.67,1245.22,1.18,2.24,191.4
991.81,3.53,277.34,3.12,97.1,7.87,7.64,0.23,4.81,7.71,1245.07,1.11,2.52,177.6
991.89,3.75,277.56,3.36,97.3,8,7.78,0.22,4.89,7.84,1244.12,0.77,1.64,192.7
991.93,3.95,277.75,3.53,97.1,8.11,7.87,0.24,4.95,7.94,1243.25,1.5,2.28,188.2
991.97,4.13,277.93,3.7,97,8.21,7.97,0.25,5.01,8.03,1242.43,0.65,1.86,191.5
992.08,4.03,277.83,3.5,96.3,8.16,7.85,0.3,4.94,7.92,1243.05,1.81,3.32,161.6
992.1,3.75,277.54,3.18,96,8,7.68,0.32,4.83,7.74,1244.43,1.26,2.7,131
992.26,4.22,278,3.75,96.7,8.27,7.99,0.27,5.03,8.06,1242.36,0.19,0.48,38.03
992.33,4.84,278.61,4.17,95.4,8.63,8.23,0.4,5.18,8.3,1239.59,0.53,0.96,152.6
992.43,5.16,278.93,4.06,92.6,8.83,8.17,0.65,5.14,8.24,1238.31,0.43,1,140.5
992.46,5.04,278.81,3.75,91.3,8.76,7.99,0.76,5.03,8.05,1238.95,0.53,0.94,24.08
992.46,5.45,279.22,4.23,91.8,9.01,8.27,0.74,5.2,8.33,1237,0.95,2.12,113.1
992.48,5.65,279.41,4.32,91.1,9.13,8.32,0.81,5.23,8.38,1236.12,0.96,2.44,136.5
992.53,5.83,279.58,4.24,89.5,9.25,8.27,0.97,5.2,8.34,1235.44,0.84,1.66,182.4
992.67,5.65,279.4,4.18,90.2,9.13,8.24,0.9,5.18,8.3,1236.41,1.27,2.4,172.2
992.64,5.51,279.26,4.1,90.6,9.05,8.2,0.85,5.15,8.26,1237,0.88,1.92,138.9
992.67,5.44,279.19,4.2,91.7,9,8.25,0.75,5.19,8.32,1237.33,0.9,2.28,119.7
992.68,5.89,279.64,4.59,91.3,9.29,8.48,0.81,5.33,8.54,1235.23,0.85,1.96,156.7
992.66,6.18,279.93,4.63,89.8,9.47,8.51,0.97,5.35,8.57,1233.93,1.33,2.8,179.8
992.62,6.37,280.12,4.72,89.2,9.6,8.56,1.04,5.38,8.63,1233.03,0.78,1.64,206.7
992.54,6.52,280.28,4.83,88.9,9.7,8.63,1.08,5.42,8.69,1232.21,1.17,2.24,175.7
992.48,6.64,280.4,4.94,88.9,9.78,8.69,1.09,5.47,8.76,1231.6,1.65,2.64,182.5
992.46,6.93,280.69,5.15,88.4,9.98,8.82,1.16,5.55,8.89,1230.24,1.6,2.56,167.7
992.36,7.2,280.98,5.19,87,10.17,8.84,1.32,5.56,8.91,1228.9,1.22,2.12,180.3
992.25,7.13,280.91,5.2,87.5,10.12,8.85,1.26,5.57,8.92,1229.07,0.95,1.68,183.8
992.2,7.46,281.25,5.31,86.2,10.35,8.92,1.43,5.61,8.99,1227.53,1.19,1.92,198.2
992.22,7.7,281.49,5.48,85.8,10.52,9.03,1.49,5.68,9.1,1226.45,1.33,2.08,205.4
992.21,8.53,282.32,5.83,83.1,11.13,9.25,1.88,5.82,9.32,1222.72,1.05,1.74,190.9
992.06,8.85,282.65,5.83,81.3,11.38,9.25,2.13,5.82,9.32,1221.15,1.64,2.4,169.5
991.96,8.77,282.58,5.79,81.5,11.32,9.22,2.09,5.8,9.3,1221.39,1.51,2.56,181
991.85,8.74,282.56,5.74,81.4,11.29,9.19,2.1,5.78,9.27,1221.39,0.86,1.6,205.7
991.75,8.67,282.5,5.73,81.7,11.24,9.18,2.06,5.78,9.26,1221.58,0.96,1.36,217.9
991.83,8.82,282.64,5.82,81.4,11.35,9.24,2.11,5.82,9.32,1221,0.92,1.48,238.2
991.77,8.96,282.79,5.85,80.8,11.46,9.26,2.2,5.83,9.34,1220.31,0.95,1.48,213.1
991.63,9.12,282.96,5.97,80.6,11.59,9.34,2.25,5.88,9.42,1219.41,1.14,1.64,202.4
991.58,9.32,283.16,6.11,80.3,11.74,9.43,2.31,5.94,9.51,1218.44,0.47,1.12,240.3
991.57,9.88,283.73,6.25,78.1,12.2,9.52,2.67,6,9.61,1215.98,0.45,1,214.5
991.59,10.23,284.08,6.28,76.4,12.48,9.54,2.95,6.01,9.62,1214.49,1.11,1.64,213.3
991.6,10.64,284.49,6.37,74.8,12.83,9.6,3.23,6.04,9.68,1212.72,0.82,1.52,207.3
991.61,11.25,285.1,6.5,72.5,13.36,9.69,3.67,6.1,9.77,1210.09,0.53,1.04,153.6
991.69,11.66,285.5,6.69,71.5,13.73,9.82,3.91,6.18,9.9,1208.39,0.63,1.16,190.1
991.72,11.59,285.43,6.59,71.3,13.67,9.75,3.92,6.14,9.83,1208.75,0.96,1.42,216.9
991.7,11.29,285.13,6.56,72.6,13.4,9.73,3.67,6.12,9.81,1210.01,0.42,0.92,288.3
991.59,11.25,285.1,6.52,72.6,13.36,9.7,3.66,6.11,9.78,1210.06,0.23,0.44,13.72
991.7,11.23,285.07,6.52,72.7,13.35,9.7,3.64,6.11,9.78,1210.28,0.49,0.92,241.5
991.74,10.97,284.8,6.45,73.6,13.12,9.65,3.46,6.08,9.73,1211.46,0.65,0.88,229
991.8,10.86,284.69,6.62,75,13.02,9.77,3.26,6.15,9.85,1211.95,0.3,0.84,247.4
991.74,10.74,284.57,6.6,75.5,12.92,9.75,3.16,6.14,9.83,1212.39,0.21,0.5,14.32
991.81,10.5,284.33,6.59,76.7,12.71,9.75,2.96,6.14,9.83,1213.51,0.73,0.96,42.68
991.76,10.3,284.13,6.42,76.8,12.54,9.63,2.91,6.06,9.71,1214.36,0.47,0.8,37.77
991.79,10.37,284.2,6.45,76.6,12.6,9.65,2.95,6.08,9.73,1214.08,0.46,0.68,88
991.83,10.37,284.2,6.49,76.8,12.6,9.68,2.92,6.09,9.76,1214.12,0.31,0.48,76.1
991.93,10.43,284.25,6.49,76.5,12.65,9.68,2.97,6.09,9.76,1213.99,0.39,0.76,106.2
991.96,10.37,284.19,6.54,77.1,12.6,9.72,2.89,6.12,9.8,1214.26,0.49,0.96,95.1
992.05,10.06,283.87,6.54,78.7,12.34,9.71,2.63,6.11,9.79,1215.7,0.44,0.72,68.37
992.14,9.89,283.69,6.54,79.6,12.2,9.71,2.49,6.11,9.79,1216.55,0.21,0.4,210
992.28,9.8,283.59,6.58,80.3,12.13,9.74,2.39,6.13,9.82,1217.09,0.29,0.72,57.15
992.31,9.54,283.32,6.58,81.7,11.92,9.74,2.18,6.13,9.81,1218.25,0.56,0.76,81.6
992.32,9.29,283.07,6.54,82.9,11.72,9.72,2,6.11,9.79,1219.35,0.63,1,48.68
992.38,9.05,282.83,6.48,83.9,11.53,9.68,1.86,6.09,9.75,1220.48,0.58,1,63.41
992.43,8.84,282.61,6.48,85.1,11.37,9.68,1.69,6.09,9.75,1221.45,0.32,0.6,54.04
992.45,8.77,282.54,6.48,85.5,11.32,9.67,1.64,6.09,9.75,1221.78,0.56,0.8,19.4
992.54,8.74,282.5,6.52,85.9,11.29,9.7,1.59,6.1,9.77,1222.01,0.66,1,25.44
992.66,8.72,282.47,6.53,86.1,11.28,9.71,1.57,6.11,9.78,1222.24,0.61,0.96,19.33
992.69,8.69,282.44,6.47,85.9,11.25,9.67,1.59,6.08,9.74,1222.43,0.31,0.72,24.81
992.82,8.58,282.32,6.39,86.1,11.17,9.62,1.55,6.05,9.69,1223.09,0.68,1.04,30.87
992.93,8.39,282.12,6.34,86.9,11.03,9.58,1.44,6.02,9.65,1224.07,0.8,1.16,207
993.03,8.33,282.05,6.46,88,10.98,9.66,1.32,6.08,9.73,1224.42,0.87,1.36,235.7
993.06,8.34,282.06,6.51,88.2,10.99,9.69,1.3,6.09,9.76,1224.39,0.41,0.68,218.2
993.05,8.23,281.95,6.38,88.1,10.91,9.61,1.3,6.04,9.68,1224.9,0.33,0.52,37.65
993.05,8.11,281.83,6.36,88.7,10.82,9.6,1.22,6.03,9.66,1225.42,0.52,0.92,37.56
993.04,8.1,281.82,6.39,88.9,10.81,9.61,1.2,6.04,9.68,1225.45,0.54,0.84,23.93
993.06,7.75,281.47,5.98,88.5,10.56,9.34,1.21,5.87,9.41,1227.13,0.55,0.76,207.7
993.05,7.59,281.31,6.16,90.6,10.44,9.46,0.98,5.95,9.53,1227.76,0.58,0.88,228.7
993.01,7.7,281.42,6.26,90.6,10.52,9.53,0.99,5.99,9.6,1227.2,0.14,0.4,4.32
992.97,7.74,281.47,6.21,90,10.55,9.49,1.05,5.97,9.56,1226.99,0.49,0.72,60.95
992.94,7.65,281.38,6.02,89.4,10.48,9.37,1.11,5.89,9.44,1227.4,0.56,0.88,127.5
992.93,7.48,281.21,5.97,90.1,10.36,9.34,1.03,5.87,9.4,1228.15,0.41,0.8,136.1
993.02,6.96,280.68,5.49,90.3,10,9.03,0.97,5.68,9.09,1230.68,0.42,0.88,126.2
993.09,6.38,280.09,5.13,91.7,9.61,8.81,0.8,5.54,8.87,1233.43,1.23,1.68,185.6
993.18,6.24,279.94,5.33,93.9,9.51,8.93,0.58,5.61,8.99,1234.13,1.19,1.56,184.7
993.27,6.25,279.95,5.4,94.3,9.52,8.98,0.54,5.64,9.04,1234.16,0.66,1.32,169.4
993.32,6.26,279.95,5.5,94.9,9.53,9.04,0.49,5.68,9.1,1234.15,0.34,1.12,135.2
993.37,6.34,280.03,5.61,95.1,9.58,9.11,0.47,5.72,9.17,1233.82,0.29,0.68,314.7
993.35,6.39,280.08,5.71,95.4,9.61,9.17,0.44,5.76,9.23,1233.55,0.13,0.28,359.9
993.31,6.33,280.03,5.65,95.4,9.58,9.14,0.44,5.74,9.2,1233.76,0.24,0.52,258.2
993.25,6.35,280.05,5.71,95.7,9.59,9.17,0.41,5.77,9.24,1233.6,0.43,1.12,356.6
993.2,6.45,280.16,5.85,95.9,9.65,9.26,0.4,5.82,9.32,1233.05,0.64,1.24,2
993.25,6.14,279.84,5.4,95,9.45,8.98,0.47,5.64,9.04,1234.61,0.34,0.58,171.6
993.28,6.08,279.78,5.43,95.6,9.41,9,0.41,5.65,9.06,1234.92,0.22,0.48,159.6
993.34,6.15,279.84,5.5,95.6,9.45,9.04,0.42,5.68,9.1,1234.67,0.27,0.48,92.9
993.41,6.16,279.85,5.45,95.2,9.46,9.01,0.45,5.66,9.07,1234.72,0.21,0.44,68.63
993.42,6.03,279.72,5.21,94.5,9.38,8.86,0.52,5.57,8.92,1235.37,0.28,0.54,76.9
993.37,5.76,279.45,4.92,94.3,9.21,8.68,0.52,5.45,8.74,1236.57,0.53,0.92,165.2
993.33,5.51,279.2,4.71,94.6,9.04,8.56,0.49,5.37,8.61,1237.7,0.37,0.84,177.9
993.42,5.29,278.97,4.52,94.8,8.9,8.44,0.46,5.3,8.5,1238.87,0.68,1.04,196.2
993.41,5.18,278.87,4.53,95.5,8.84,8.44,0.4,5.3,8.5,1239.31,0.58,0.96,187.7
993.4,5.02,278.7,4.35,95.4,8.74,8.34,0.4,5.24,8.39,1240.09,0.35,0.56,174.9
993.39,4.94,278.62,4.32,95.8,8.69,8.32,0.36,5.23,8.38,1240.44,0.36,0.86,166
993.41,5.1,278.79,4.55,96.2,8.79,8.46,0.33,5.31,8.51,1239.67,0.29,0.94,95.4
993.42,5.12,278.8,4.56,96.2,8.8,8.47,0.33,5.32,8.52,1239.61,0.29,0.8,118
993.43,5.09,278.77,4.53,96.2,8.78,8.45,0.33,5.31,8.5,1239.75,0.39,0.8,143.7
993.43,5.16,278.84,4.66,96.6,8.82,8.52,0.3,5.35,8.58,1239.41,0.2,0.48,102.4
993.36,4.93,278.62,4.36,96.1,8.69,8.35,0.34,5.24,8.4,1240.43,0.23,0.44,85.3
993.31,4.88,278.57,4.39,96.6,8.66,8.36,0.29,5.25,8.42,1240.57,0.27,0.48,130.3
993.38,4.86,278.55,4.38,96.7,8.64,8.36,0.29,5.25,8.41,1240.76,0.4,0.56,228.6
993.33,4.93,278.62,4.5,97,8.69,8.43,0.26,5.29,8.48,1240.35,0.53,0.84,198.3
993.3,4.84,278.53,4.39,96.9,8.63,8.36,0.27,5.25,8.42,1240.74,0.28,0.52,166.1
993.36,4.71,278.4,4.24,96.8,8.55,8.28,0.27,5.2,8.33,1241.45,0.48,0.8,145.4
993.41,4.68,278.37,4.26,97.1,8.53,8.29,0.25,5.21,8.34,1241.63,0.29,0.52,52.65
993.41,4.8,278.49,4.43,97.4,8.61,8.38,0.22,5.27,8.44,1241.04,0.77,1.18,29.48
993.44,5,278.69,4.64,97.5,8.73,8.51,0.22,5.35,8.57,1240.12,0.8,1.22,18.58
993.57,5.05,278.72,4.66,97.3,8.76,8.52,0.24,5.35,8.58,1240.07,0.35,0.64,87
993.65,4.99,278.66,4.6,97.3,8.72,8.49,0.24,5.33,8.54,1240.43,0.14,0.32,345.6
993.64,5.2,278.86,4.8,97.3,8.85,8.61,0.24,5.41,8.67,1239.46,0.27,1.04,305.6
993.68,5.17,278.83,4.73,97,8.83,8.57,0.26,5.38,8.62,1239.65,0.79,1.44,229.9
993.74,5.29,278.95,4.86,97.1,8.91,8.65,0.26,5.43,8.7,1239.17,0.27,0.6,53.37
993.74,5.53,279.19,5.1,97.1,9.05,8.79,0.26,5.52,8.85,1238.03,0.2,0.44,48.69
993.69,5.68,279.34,5.21,96.8,9.15,8.86,0.29,5.56,8.91,1237.28,0.62,1.92,38.07
993.67,5.74,279.41,5.23,96.5,9.19,8.87,0.32,5.57,8.93,1236.96,0.64,1.32,55.54
993.65,5.75,279.42,5.28,96.8,9.2,8.9,0.29,5.59,8.96,1236.86,0.98,2.56,27.36
993.55,6.06,279.74,5.64,97.1,9.4,9.13,0.27,5.73,9.19,1235.26,1.93,2.7,24.48
993.6,6.13,279.8,5.72,97.2,9.44,9.18,0.26,5.77,9.24,1235.01,2,2.88,24.44
993.85,6.13,279.78,5.72,97.2,9.44,9.18,0.26,5.76,9.23,1235.33,1.87,2.92,38.95
993.9,6.13,279.78,5.75,97.4,9.44,9.2,0.25,5.78,9.25,1235.36,1.14,2.44,36.36
993.93,6.12,279.77,5.76,97.5,9.44,9.2,0.24,5.78,9.26,1235.44,1.18,1.8,30.44
993.96,6.13,279.78,5.8,97.7,9.45,9.23,0.22,5.79,9.28,1235.41,1.96,3,11.31
993.97,6.15,279.79,5.83,97.8,9.46,9.25,0.21,5.81,9.3,1235.34,1.66,2.84,12.2
993.94,6.18,279.83,5.87,97.9,9.48,9.28,0.2,5.83,9.33,1235.15,2.08,2.92,13.73
993.84,6.2,279.86,5.91,98,9.49,9.3,0.19,5.84,9.36,1234.93,2.12,3.34,20.84
993.89,6.24,279.89,5.96,98.1,9.51,9.33,0.18,5.86,9.39,1234.82,2.14,3.39,28.88
993.89,6.21,279.86,5.93,98.1,9.49,9.31,0.18,5.85,9.37,1234.95,2.3,3.32,31.13
993.95,6.29,279.94,6.04,98.3,9.55,9.39,0.16,5.9,9.44,1234.62,3.01,4.21,22.1
994.17,6.34,279.96,6.09,98.3,9.58,9.42,0.16,5.91,9.47,1234.68,2.81,4.17,27.67
994.3,6.29,279.9,6.02,98.2,9.55,9.37,0.17,5.88,9.43,1235.09,3.48,4.69,19.75
994.36,6.27,279.88,6.02,98.3,9.54,9.37,0.16,5.88,9.43,1235.23,2.85,3.81,23.57
994.42,6.27,279.88,6.02,98.3,9.54,9.37,0.16,5.88,9.43,1235.31,2.23,3.32,32.54
994.54,6.25,279.84,6,98.3,9.52,9.36,0.16,5.87,9.41,1235.58,1.48,2.16,34.22
994.52,6.29,279.89,6.06,98.4,9.55,9.4,0.15,5.9,9.45,1235.33,1.89,2.88,23.9
994.42,6.33,279.94,6.1,98.4,9.58,9.42,0.15,5.91,9.48,1235.01,2.19,3,26.65
994.44,6.29,279.9,6.06,98.4,9.55,9.4,0.15,5.9,9.45,1235.22,2.15,3,21.9
994.62,6.34,279.93,6.11,98.4,9.58,9.43,0.15,5.92,9.48,1235.22,1.6,3.34,20.4
994.78,6.39,279.97,6.16,98.4,9.62,9.46,0.15,5.94,9.51,1235.18,1.5,2.64,23
994.82,6.41,279.99,6.18,98.4,9.63,9.48,0.15,5.95,9.52,1235.14,2.21,3.49,24.08
994.88,6.4,279.98,6.16,98.3,9.62,9.46,0.16,5.94,9.51,1235.24,2.46,3.77,21.63
995.01,6.4,279.96,6.16,98.3,9.62,9.46,0.16,5.93,9.51,1235.42,2.94,5.69,27.4
995.13,6.3,279.85,6.03,98.1,9.56,9.38,0.18,5.88,9.42,1236.05,3.54,5.79,24.59
995.38,6.27,279.8,6.01,98.2,9.53,9.36,0.17,5.87,9.41,1236.52,3.22,4.93,28.9
995.56,6.23,279.74,5.97,98.2,9.51,9.34,0.17,5.85,9.38,1236.93,3.22,5.11,27.19
995.63,6.17,279.68,5.9,98.2,9.47,9.3,0.17,5.83,9.34,1237.32,3.7,5.37,24.35
995.53,6.14,279.66,5.89,98.3,9.45,9.29,0.16,5.82,9.33,1237.32,3.49,4.77,24.52
995.51,6.11,279.63,5.86,98.3,9.43,9.27,0.16,5.81,9.31,1237.43,3.6,5.25,26.2
995.6,6.07,279.58,5.82,98.3,9.4,9.24,0.16,5.79,9.28,1237.74,4.46,6.13,24.38
995.63,6.05,279.56,5.82,98.4,9.39,9.24,0.15,5.79,9.28,1237.85,4.26,6.17,28.5
995.81,6.07,279.57,5.84,98.4,9.4,9.25,0.15,5.8,9.29,1237.98,3.21,4.47,35.36
995.93,6.07,279.56,5.84,98.4,9.4,9.25,0.15,5.8,9.29,1238.13,3.39,4.77,33.62
995.94,6.06,279.54,5.84,98.5,9.4,9.26,0.14,5.8,9.29,1238.19,3.5,4.97,30.25
996.07,6.01,279.48,5.79,98.5,9.36,9.22,0.14,5.78,9.26,1238.62,3.94,5.21,32.91
996.02,6.01,279.49,5.79,98.5,9.36,9.22,0.14,5.78,9.26,1238.54,3.85,5.41,30.6
